problem_id,ev_A,ev_B,ev_diff,max_value_A,max_value_B,max_value_diff,min_value_A,min_value_B,n_outcomes_B,has_safe_option_A,has_safe_option_B,ev_max_conflict,higher_ev_option,higher_max_option,feedback,ambiguity,corr,block,bRate,bRate_std,options_A,options_B
48,-10.0,-19.5,9.5,-10.0,8.5,-18.5,-10.0,-28.0,7,True,False,True,A,B,True,False,0,2,0.6736842105263158,0.3070325810853845,"[[1.0, -10.0], [0.0, -10.0]]","[[0.75, -28.0], [0.0078125, 3.5], [0.0390625, 4.5], [0.078125, 5.5], [0.078125, 6.5], [0.0390625, 7.5], [0.0078125, 8.5]]"
50,17.78,23.5,-5.72,18.0,94.0,-76.0,-4.0,-47.0,2,False,False,False,B,B,False,False,0,1,0.4625,0.4660114447807764,"[[0.99, 18.0], [0.010000000000000009, -4.0]]","[[0.5, -47.0], [0.5, 94.0]]"
56,14.2,12.35,1.85,35.0,19.5,15.5,-17.0,12.0,3,False,False,False,A,A,True,False,0,3,0.5888888888888889,0.4199284097093763,"[[0.6, 35.0], [0.4, -17.0]]","[[0.95, 12.0], [0.025, 18.5], [0.025, 19.5]]"
57,-3.0,3.3,-6.3,7.0,60.0,-53.0,-18.0,-3.0,2,False,False,False,B,B,True,False,1,4,0.4875,0.3862210075418821,"[[0.6, 7.0], [0.4, -18.0]]","[[0.9, -3.0], [0.1, 60.0]]"
58,5.0,8.0,-3.0,5.0,20.0,-15.0,5.0,0.0,2,True,False,False,B,B,True,False,0,4,0.4666666666666666,0.4186144947778269,"[[1.0, 5.0], [0.0, 5.0]]","[[0.6, 0.0], [0.4, 20.0]]"
59,7.2,7.75,-0.55,27.0,52.5,-25.5,-6.0,-7.0,3,False,False,False,B,B,True,False,0,5,0.35,0.3141125063837265,"[[0.4, 27.0], [0.6, -6.0]]","[[0.75, -7.0], [0.125, 51.5], [0.125, 52.5]]"
78,13.0,11.75,1.25,55.0,119.5,-64.5,-1.0,-23.0,9,False,False,True,A,B,True,False,1,4,0.5625,0.3947573094109004,"[[0.25, 55.0], [0.75, -1.0]]","[[0.75, -23.0], [0.001953125, 112.5], [0.013671875, 113.5], [0.041015625, 114.5], [0.068359375, 115.5], [0.068359375, 116.5], [0.041015625, 117.5], [0.013671875, 118.5], [0.001953125, 119.5]]"
83,23.0,22.8,0.2,23.0,51.5,-28.5,23.0,16.0,5,True,False,True,A,B,False,True,0,1,0.85,0.2476556749467561,"[[1.0, 23.0], [0.0, 23.0]]","[[0.8, 16.0], [0.025, 48.5], [0.07500000000000001, 49.5], [0.07500000000000001, 50.5], [0.025, 51.5]]"
94,6.0,5.4,0.6,6.0,53.5,-47.5,6.0,-25.0,7,True,False,True,A,B,False,True,0,1,0.55,0.409878030638384,"[[1.0, 6.0], [0.0, 6.0]]","[[0.6, -25.0], [0.0125, 48.5], [0.0625, 49.5], [0.125, 50.5], [0.125, 51.5], [0.0625, 52.5], [0.0125, 53.5]]"
94,6.0,5.4,0.6,6.0,53.5,-47.5,6.0,-25.0,7,True,False,True,A,B,True,True,0,5,0.5749999999999998,0.3568379650952703,"[[1.0, 6.0], [0.0, 6.0]]","[[0.6, -25.0], [0.0125, 48.5], [0.0625, 49.5], [0.125, 50.5], [0.125, 51.5], [0.0625, 52.5], [0.0125, 53.5]]"
96,24.0,23.25,0.75,24.0,33.0,-9.0,24.0,-6.0,2,True,False,True,A,B,True,False,0,2,0.5555555555555556,0.4032547322536553,"[[1.0, 24.0], [0.0, 24.0]]","[[0.25, -6.0], [0.75, 33.0]]"
97,-8.75,-13.25,4.5,88.0,-3.5,91.5,-41.0,-35.0,7,False,False,False,A,A,True,False,0,3,0.5733333333333334,0.384460041889302,"[[0.25, 88.0], [0.75, -41.0]]","[[0.25, -35.0], [0.0234375, -8.5], [0.1171875, -7.5], [0.234375, -6.5], [0.234375, -5.5], [0.1171875, -4.5], [0.0234375, -3.5]]"
98,6.0,-1.6,7.6,6.0,26.5,-20.5,6.0,-40.0,7,True,False,True,A,B,True,False,0,3,0.5625,0.4333974311568233,"[[1.0, 6.0], [0.0, 6.0]]","[[0.4, -40.0], [0.01875, 21.5], [0.09375, 22.5], [0.1875, 23.5], [0.1875, 24.5], [0.09375, 25.5], [0.01875, 26.5]]"
106,26.0,19.0,7.0,26.0,50.5,-24.5,26.0,9.0,5,True,False,True,A,B,True,False,0,4,0.5764705882352942,0.4054772061483633,"[[1.0, 26.0], [0.0, 26.0]]","[[0.75, 9.0], [0.03125, 47.5], [0.09375, 48.5], [0.09375, 49.5], [0.03125, 50.5]]"
109,4.12,4.4,-0.28,16.0,58.0,-42.0,4.0,-9.0,2,False,False,False,B,B,False,False,0,1,0.275,0.3991657967979387,"[[0.01, 16.0], [0.99, 4.0]]","[[0.8, -9.0], [0.2, 58.0]]"
115,25.0,29.2,-4.2,25.0,42.0,-17.0,25.0,-22.0,2,True,False,False,B,B,False,False,0,1,0.325,0.2909753712372692,"[[1.0, 25.0], [0.0, 25.0]]","[[0.19999999999999996, -22.0], [0.8, 42.0]]"
116,6.0,2.75,3.25,6.0,77.5,-71.5,6.0,2.0,3,True,False,True,A,B,False,False,0,1,0.5333333333333332,0.3796928583298173,"[[1.0, 6.0], [0.0, 6.0]]","[[0.99, 2.0], [0.005, 76.5], [0.005, 77.5]]"
119,14.8,15.0,-0.2,31.0,20.0,11.0,4.0,-42.0,6,False,False,True,B,A,False,False,0,1,0.425,0.4187282332651254,"[[0.4, 31.0], [0.6, 4.0]]","[[0.5, 20.0], [0.25, 18.0], [0.125, 14.0], [0.0625, 6.0], [0.03125, -10.0], [0.03125, -42.0]]"
121,-2.0,5.25,-7.25,-2.0,72.0,-74.0,-2.0,-17.0,2,True,False,False,B,B,True,True,0,5,0.4933333333333334,0.4061433010064071,"[[1.0, -2.0], [0.0, -2.0]]","[[0.75, -17.0], [0.25, 72.0]]"
124,4.75,5.6,-0.85,38.0,25.0,13.0,3.0,-22.0,3,False,False,True,B,A,False,True,0,1,0.3125000000000001,0.3930648801406709,"[[0.05, 38.0], [0.95, 3.0]]","[[0.4, -22.0], [0.3, 25.0], [0.30000000000000004, 23.0]]"
124,4.75,5.6,-0.85,38.0,25.0,13.0,3.0,-22.0,3,False,False,True,B,A,True,True,0,3,0.4,0.3927922024247863,"[[0.05, 38.0], [0.95, 3.0]]","[[0.4, -22.0], [0.3, 25.0], [0.30000000000000004, 23.0]]"
131,4.4,4.0,0.4,98.0,4.5,93.5,-6.0,3.5,2,False,False,False,A,A,False,False,0,1,0.65,0.4647580015448901,"[[0.1, 98.0], [0.9, -6.0]]","[[0.5, 3.5], [0.5, 4.5]]"
131,4.4,4.0,0.4,98.0,4.5,93.5,-6.0,3.5,2,False,False,False,A,A,True,False,0,2,0.7625000000000001,0.2941088233970548,"[[0.1, 98.0], [0.9, -6.0]]","[[0.5, 3.5], [0.5, 4.5]]"
134,10.0,6.75,3.25,10.0,162.0,-152.0,10.0,-5.0,8,True,False,True,A,B,True,True,0,3,0.8125000000000001,0.2680174123696692,"[[1.0, 10.0], [0.0, 10.0]]","[[0.75, -5.0], [0.125, 36.0], [0.0625, 38.0], [0.03125, 42.0], [0.015625, 50.0], [0.0078125, 66.0], [0.00390625, 98.0], [0.00390625, 162.0]]"
137,-7.0,-9.55,2.55,2.0,155.0,-153.0,-10.0,-10.0,8,False,False,True,A,B,False,False,0,1,0.6124999999999999,0.4161329915623931,"[[0.25, 2.0], [0.75, -10.0]]","[[0.99, -10.0], [0.005, 29.0], [0.0025, 31.0], [0.00125, 35.0], [0.000625, 43.0], [0.0003125, 59.0], [0.00015625, 91.0], [0.00015625000000003998, 155.0]]"
138,-10.2,-10.0,-0.2,-9.0,-8.5,-0.5,-15.0,-11.5,4,False,False,False,B,B,False,False,0,1,0.4,0.4258325179379016,"[[0.8, -9.0], [0.19999999999999996, -15.0]]","[[0.125, -11.5], [0.375, -10.5], [0.375, -9.5], [0.125, -8.5]]"
138,-10.2,-10.0,-0.2,-9.0,-8.5,-0.5,-15.0,-11.5,4,False,False,False,B,B,True,False,0,5,0.24,0.3042555317022659,"[[0.8, -9.0], [0.19999999999999996, -15.0]]","[[0.125, -11.5], [0.375, -10.5], [0.375, -9.5], [0.125, -8.5]]"
140,27.0,30.5,-3.5,27.0,72.0,-45.0,27.0,-9.0,4,True,False,False,B,B,False,False,0,1,0.4125,0.3304037933599835,"[[1.0, 27.0], [0.0, 27.0]]","[[0.5, -9.0], [0.25, 72.0], [0.125, 70.0], [0.125, 66.0]]"
140,27.0,30.5,-3.5,27.0,72.0,-45.0,27.0,-9.0,4,True,False,False,B,B,True,False,0,2,0.4875,0.3792536530256938,"[[1.0, 27.0], [0.0, 27.0]]","[[0.5, -9.0], [0.25, 72.0], [0.125, 70.0], [0.125, 66.0]]"
146,21.0,17.3,3.7,30.0,25.0,5.0,-15.0,17.0,4,False,False,False,A,A,False,False,0,1,0.7875000000000001,0.3222318006239194,"[[0.8, 30.0], [0.19999999999999996, -15.0]]","[[0.95, 17.0], [0.025, 25.0], [0.0125, 23.0], [0.01250000000000009, 19.0]]"
146,21.0,17.3,3.7,30.0,25.0,5.0,-15.0,17.0,4,False,False,False,A,A,True,False,0,5,0.5599999999999999,0.3942443042436649,"[[0.8, 30.0], [0.19999999999999996, -15.0]]","[[0.95, 17.0], [0.025, 25.0], [0.0125, 23.0], [0.01250000000000009, 19.0]]"
148,11.0,15.5,-4.5,11.0,33.0,-22.0,11.0,-37.0,2,True,False,False,B,B,False,False,0,1,0.4375,0.4080441152620633,"[[1.0, 11.0], [0.0, 11.0]]","[[0.25, -37.0], [0.75, 33.0]]"
148,11.0,15.5,-4.5,11.0,33.0,-22.0,11.0,-37.0,2,True,False,False,B,B,True,False,0,5,0.3866666666666667,0.3583028779970269,"[[1.0, 11.0], [0.0, 11.0]]","[[0.25, -37.0], [0.75, 33.0]]"
150,22.0,20.6,1.4,22.0,34.0,-12.0,22.0,20.0,5,True,False,True,A,B,True,False,0,2,0.535483870967742,0.4045972376712213,"[[1.0, 22.0], [0.0, 22.0]]","[[0.8, 20.0], [0.1, 20.0], [0.05, 22.0], [0.025, 26.0], [0.024999999999999956, 34.0]]"
151,18.0,23.6,-5.6,31.0,65.0,-34.0,5.0,-4.0,2,False,False,False,B,B,False,False,0,1,0.2250000000000001,0.2909753712372693,"[[0.5, 31.0], [0.5, 5.0]]","[[0.6, -4.0], [0.4, 65.0]]"
156,-3.4,-3.8,0.4,-1.0,1.0,-2.0,-25.0,-7.0,2,False,False,True,A,B,False,False,0,1,0.8124999999999999,0.3138470965295044,"[[0.9, -1.0], [0.09999999999999998, -25.0]]","[[0.6, -7.0], [0.4, 1.0]]"
157,23.0,24.5,-1.5,23.0,89.0,-66.0,23.0,-40.0,2,True,False,False,B,B,False,False,0,1,0.275,0.2516611478423583,"[[1.0, 23.0], [0.0, 23.0]]","[[0.5, -40.0], [0.5, 89.0]]"
158,-4.75,-11.85,7.1,35.0,48.0,-13.0,-18.0,-15.0,2,False,False,True,A,B,True,True,0,4,0.7789473684210527,0.2897871774028908,"[[0.25, 35.0], [0.75, -18.0]]","[[0.95, -15.0], [0.05, 48.0]]"
165,-1.0,-1.7,0.7,-1.0,25.5,-26.5,-1.0,-3.0,7,True,False,True,A,B,True,False,0,2,0.525,0.3642343567906062,"[[1.0, -1.0], [0.0, -1.0]]","[[0.95, -3.0], [0.0015625, 20.5], [0.0078125, 21.5], [0.015625, 22.5], [0.015625, 23.5], [0.0078125, 24.5], [0.0015625, 25.5]]"
168,-1.8,-2.0,0.2,-1.0,1.5,-2.5,-2.0,-5.5,8,False,False,True,A,B,True,False,0,4,0.5411764705882353,0.4886957431897322,"[[0.2, -1.0], [0.8, -2.0]]","[[0.0078125, -5.5], [0.0546875, -4.5], [0.1640625, -3.5], [0.2734375, -2.5], [0.2734375, -1.5], [0.1640625, -0.5], [0.0546875, 0.5], [0.0078125, 1.5]]"
190,5.0,8.0,-3.0,5.0,41.0,-36.0,5.0,-14.0,2,False,False,False,B,B,True,True,0,4,0.375,0.2516611478423583,"[[0.75, 5.0], [0.25, 5.0]]","[[0.6, -14.0], [0.4, 41.0]]"
195,-4.2,-10.2,6.0,5.0,51.0,-46.0,-18.0,-17.0,2,False,False,True,A,B,True,True,0,2,0.675,0.2909753712372693,"[[0.6, 5.0], [0.4, -18.0]]","[[0.9, -17.0], [0.1, 51.0]]"
197,24.0,21.4,2.6,24.0,90.0,-66.0,24.0,15.0,5,True,False,True,A,B,False,True,0,1,0.8235294117647058,0.1855040827202527,"[[1.0, 24.0], [0.0, 24.0]]","[[0.9, 15.0], [0.05, 76.0], [0.025, 78.0], [0.0125, 82.0], [0.012499999999999978, 90.0]]"
197,24.0,21.4,2.6,24.0,90.0,-66.0,24.0,15.0,5,True,False,True,A,B,True,True,0,4,0.65,0.2875181153713043,"[[1.0, 24.0], [0.0, 24.0]]","[[0.9, 15.0], [0.05, 76.0], [0.025, 78.0], [0.0125, 82.0], [0.012499999999999978, 90.0]]"
201,-2.0,-3.6,1.6,-2.0,20.0,-22.0,-2.0,-9.0,4,True,False,True,A,B,True,True,0,5,0.6874999999999999,0.3095695936834452,"[[1.0, -2.0], [0.0, -2.0]]","[[0.8, -9.0], [0.1, 20.0], [0.05, 18.0], [0.04999999999999991, 14.0]]"
202,13.75,6.75,7.0,66.0,100.5,-34.5,11.0,2.0,9,False,False,True,A,B,False,True,1,1,0.8235294117647057,0.2332632948105688,"[[0.05, 66.0], [0.95, 11.0]]","[[0.95, 2.0], [0.000390625, 93.5], [0.0027343750000000003, 94.5], [0.008203125, 95.5], [0.013671875, 96.5], [0.013671875, 97.5], [0.008203125, 98.5], [0.0027343750000000003, 99.5], [0.000390625, 100.5]]"
202,13.75,6.75,7.0,66.0,100.5,-34.5,11.0,2.0,9,False,False,True,A,B,True,True,1,4,0.55,0.3306559138036599,"[[0.05, 66.0], [0.95, 11.0]]","[[0.95, 2.0], [0.000390625, 93.5], [0.0027343750000000003, 94.5], [0.008203125, 95.5], [0.013671875, 96.5], [0.013671875, 97.5], [0.008203125, 98.5], [0.0027343750000000003, 99.5], [0.000390625, 100.5]]"
203,10.25,14.8,-4.55,12.0,22.0,-10.0,5.0,-14.0,2,False,False,False,B,B,True,False,1,5,0.3875,0.3827531841800928,"[[0.75, 12.0], [0.25, 5.0]]","[[0.19999999999999996, -14.0], [0.8, 22.0]]"
206,1.8,0.75,1.05,7.0,84.0,-77.0,-6.0,-27.0,2,False,False,True,A,B,True,False,0,5,0.5375,0.3480900266693469,"[[0.6, 7.0], [0.4, -6.0]]","[[0.75, -27.0], [0.25, 84.0]]"
210,8.0,3.68,4.32,8.0,71.0,-63.0,8.0,3.0,2,True,False,True,A,B,False,True,0,1,0.8375,0.2552776266472772,"[[1.0, 8.0], [0.0, 8.0]]","[[0.99, 3.0], [0.01, 71.0]]"
211,25.8,25.4,0.4,72.0,61.5,10.5,-5.0,3.0,7,False,False,False,A,A,True,True,-1,5,0.6375,0.284897642437888,"[[0.4, 72.0], [0.6, -5.0]]","[[0.6, 3.0], [0.0125, 56.5], [0.0625, 57.5], [0.125, 58.5], [0.125, 59.5], [0.0625, 60.5], [0.0125, 61.5]]"
214,24.0,22.05,1.95,24.0,144.0,-120.0,24.0,-15.0,8,True,False,True,A,B,True,False,0,3,0.5733333333333334,0.3692979181920098,"[[1.0, 24.0], [0.0, 24.0]]","[[0.050000000000000044, -15.0], [0.475, 18.0], [0.2375, 20.0], [0.11875, 24.0], [0.059375, 32.0], [0.0296875, 48.0], [0.01484375, 80.0], [0.014843750000000022, 144.0]]"
219,-9.0,-9.05,0.05,-9.0,9.0,-18.0,-9.0,-10.0,2,True,False,True,A,B,False,True,0,1,0.7000000000000001,0.3183289703016886,"[[1.0, -9.0], [0.0, -9.0]]","[[0.95, -10.0], [0.05, 9.0]]"
219,-9.0,-9.05,0.05,-9.0,9.0,-18.0,-9.0,-10.0,2,True,False,True,A,B,True,True,0,2,0.8666666666666667,0.2566755791678991,"[[1.0, -9.0], [0.0, -9.0]]","[[0.95, -10.0], [0.05, 9.0]]"
220,-8.25,-5.3,-2.95,60.0,109.0,-49.0,-31.0,-18.0,2,False,False,False,B,B,True,False,0,3,0.425,0.3714835124201341,"[[0.25, 60.0], [0.75, -31.0]]","[[0.9, -18.0], [0.1, 109.0]]"
223,25.0,19.0,6.0,25.0,46.0,-21.0,25.0,16.0,2,True,False,True,A,B,False,True,0,1,0.55,0.3966526608171605,"[[1.0, 25.0], [0.0, 25.0]]","[[0.9, 16.0], [0.1, 46.0]]"
226,15.0,17.4,-2.4,90.0,108.5,-18.5,-35.0,-5.0,5,False,False,False,B,B,True,False,0,4,0.425,0.3,"[[0.4, 90.0], [0.6, -35.0]]","[[0.8, -5.0], [0.025, 105.5], [0.07500000000000001, 106.5], [0.07500000000000001, 107.5], [0.025, 108.5]]"
235,4.0,4.2,-0.2,4.0,65.0,-61.0,4.0,-11.0,2,True,False,False,B,B,True,False,0,2,0.2666666666666667,0.3819454842528923,"[[1.0, 4.0], [0.0, 4.0]]","[[0.8, -11.0], [0.2, 65.0]]"
236,26.0,25.4,0.6,26.0,29.0,-3.0,26.0,23.0,2,True,False,True,A,B,True,False,0,2,0.725,0.443471156521669,"[[1.0, 26.0], [0.0, 26.0]]","[[0.6, 23.0], [0.4, 29.0]]"
238,-6.0,-3.12,-2.88,-6.0,-3.0,-3.0,-6.0,-15.0,2,True,False,False,B,B,False,True,0,1,0.2625,0.25,"[[1.0, -6.0], [0.0, -6.0]]","[[0.010000000000000009, -15.0], [0.99, -3.0]]"
242,19.0,29.0,-10.0,51.0,77.0,-26.0,11.0,-3.0,2,False,False,False,B,B,True,False,1,3,0.4111111111111111,0.3848435723295878,"[[0.2, 51.0], [0.8, 11.0]]","[[0.6, -3.0], [0.4, 77.0]]"
244,-1.0,-3.8,2.8,15.0,91.5,-76.5,-5.0,-14.0,9,False,False,True,A,B,True,True,0,4,0.77,0.2921787484616764,"[[0.2, 15.0], [0.8, -5.0]]","[[0.9, -14.0], [0.00078125, 84.5], [0.0054687500000000005, 85.5], [0.01640625, 86.5], [0.02734375, 87.5], [0.02734375, 88.5], [0.01640625, 89.5], [0.0054687500000000005, 90.5], [0.00078125, 91.5]]"
245,7.67,12.25,-4.58,8.0,61.0,-53.0,-25.0,-3.0,5,False,False,False,B,B,False,False,0,1,0.375,0.3336665001664586,"[[0.99, 8.0], [0.010000000000000009, -25.0]]","[[0.75, -3.0], [0.125, 61.0], [0.0625, 59.0], [0.03125, 55.0], [0.03125, 47.0]]"
245,7.67,12.25,-4.58,8.0,61.0,-53.0,-25.0,-3.0,5,False,False,False,B,B,True,False,0,3,0.4875,0.4129164564412516,"[[0.99, 8.0], [0.010000000000000009, -25.0]]","[[0.75, -3.0], [0.125, 61.0], [0.0625, 59.0], [0.03125, 55.0], [0.03125, 47.0]]"
250,-1.0,-1.3,0.3,-1.0,79.5,-80.5,-1.0,-10.0,7,True,False,True,A,B,True,False,0,4,0.6105263157894738,0.4026229789243216,"[[1.0, -1.0], [0.0, -1.0]]","[[0.9, -10.0], [0.003125, 74.5], [0.015625, 75.5], [0.03125, 76.5], [0.03125, 77.5], [0.015625, 78.5], [0.003125, 79.5]]"
255,1.57,2.7,-1.13,58.0,28.5,29.5,1.0,0.0,5,False,False,True,B,A,False,False,0,1,0.4,0.3577708763999663,"[[0.01, 58.0], [0.99, 1.0]]","[[0.9, 0.0], [0.0125, 25.5], [0.037500000000000006, 26.5], [0.037500000000000006, 27.5], [0.0125, 28.5]]"
256,7.0,3.65,3.35,7.0,40.0,-33.0,7.0,-22.0,7,True,False,True,A,B,True,False,0,5,0.5111111111111111,0.3894020890135344,"[[1.0, 7.0], [0.0, 7.0]]","[[0.95, 2.0], [0.025, 40.0], [0.0125, 38.0], [0.00625, 34.0], [0.003125, 26.0], [0.0015625, 10.0], [0.0015625000000000667, -22.0]]"
259,28.0,31.6,-3.6,28.0,39.0,-11.0,28.0,-35.0,2,True,False,False,B,B,True,False,0,3,0.4909090909090911,0.367732610366925,"[[1.0, 28.0], [0.0, 28.0]]","[[0.09999999999999998, -35.0], [0.9, 39.0]]"
260,6.0,10.0,-4.0,6.0,25.0,-19.0,6.0,-35.0,2,True,False,False,B,B,False,False,0,1,0.4,0.4131182235954577,"[[1.0, 6.0], [0.0, 6.0]]","[[0.25, -35.0], [0.75, 25.0]]"
261,-0.2,-5.6,5.4,35.0,245.0,-210.0,-9.0,-9.0,9,False,False,True,A,B,False,False,0,1,0.6000000000000002,0.3794733192202056,"[[0.2, 35.0], [0.8, -9.0]]","[[0.9, -6.0], [0.05, -9.0], [0.025, -7.0], [0.0125, -3.0], [0.00625, 5.0], [0.003125, 21.0], [0.0015625, 53.0], [0.00078125, 117.0], [0.0007812499999999778, 245.0]]"
262,8.0,5.5,2.5,8.0,21.5,-13.5,8.0,1.0,7,True,False,True,A,B,True,False,0,5,0.5333333333333333,0.4186144947778269,"[[1.0, 8.0], [0.0, 8.0]]","[[0.75, 1.0], [0.0078125, 16.5], [0.0390625, 17.5], [0.078125, 18.5], [0.078125, 19.5], [0.0390625, 20.5], [0.0078125, 21.5]]"
264,20.0,20.6,-0.6,35.0,31.0,4.0,5.0,8.0,4,False,False,True,B,A,True,True,0,5,0.48,0.3968295404963274,"[[0.5, 35.0], [0.5, 5.0]]","[[0.4, 8.0], [0.3, 31.0], [0.15, 29.0], [0.15000000000000008, 25.0]]"
273,15.0,15.2,-0.2,15.0,61.5,-46.5,15.0,-49.0,9,True,False,False,B,B,False,False,0,1,0.45,0.4098780306383839,"[[1.0, 15.0], [0.0, 15.0]]","[[0.4, -49.0], [0.0046875, 54.5], [0.0328125, 55.5], [0.0984375, 56.5], [0.1640625, 57.5], [0.1640625, 58.5], [0.0984375, 59.5], [0.0328125, 60.5], [0.0046875, 61.5]]"
285,2.0,8.0,-6.0,22.0,24.0,-2.0,-3.0,-16.0,2,False,False,False,B,B,False,True,0,1,0.4625,0.307408522978788,"[[0.2, 22.0], [0.8, -3.0]]","[[0.4, -16.0], [0.6, 24.0]]"
286,9.8,7.1,2.7,38.0,13.0,25.0,-9.0,-10.0,4,False,False,False,A,A,True,False,0,3,0.55,0.3614784456460256,"[[0.4, 38.0], [0.6, -9.0]]","[[0.09999999999999998, -10.0], [0.45, 7.0], [0.225, 9.0], [0.22499999999999992, 13.0]]"
287,-9.75,-10.0,0.25,6.0,47.0,-41.0,-15.0,-15.0,6,False,False,True,A,B,True,False,0,4,0.5249999999999999,0.4312771730569565,"[[0.25, 6.0], [0.75, -15.0]]","[[0.5, -15.0], [0.25, -13.0], [0.125, -9.0], [0.0625, -1.0], [0.03125, 15.0], [0.03125, 47.0]]"
290,27.4,26.15,1.25,28.0,98.0,-70.0,25.0,26.0,7,False,False,True,A,B,True,False,0,2,0.775,0.3255764119219941,"[[0.8, 28.0], [0.19999999999999996, 25.0]]","[[0.99, 26.0], [0.005, 36.0], [0.0025, 38.0], [0.00125, 42.0], [0.000625, 50.0], [0.0003125, 66.0], [0.00031250000000007997, 98.0]]"
